prob0,prob1,prob2,prob3,actual0,actual1,actual2,actual3,predicted0,predicted1,predicted2,predicted3,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,distance_man,distance_cosine,distance_euclidean,distance_minkowski
0.019640,0.906918,0.055133,0.018309,0,1,0,0,0,1,0,0,1.103092,1.361846,1.768235,-0.902662,1.259107,0.517834,-1.643504,-0.266467,1.921505,10.744252,0.564205,15.330684,3.915442
0.176365,0.018206,0.027346,0.778084,0,0,0,1,0,0,0,1,-1.756539,-0.582668,1.075073,0.508079,1.876935,1.078682,0.993333,-0.211216,1.339706,9.422231,0.590133,12.351432,3.514460
0.003787,0.979682,0.014699,0.001831,0,1,0,0,0,1,0,0,-0.447342,0.588033,1.969605,-0.346457,-2.273531,0.324543,-1.785656,0.386903,0.850990,8.973060,1.065570,13.881991,3.725854
0.167142,0.026816,0.012708,0.793333,0,0,0,1,0,0,0,1,0.081703,-3.115566,-0.509771,-1.763073,0.818125,-0.760733,-0.664540,-1.573061,0.927746,10.214318,1.513818,18.106610,4.255186
0.021104,0.834219,0.076252,0.068425,0,1,0,0,0,1,0,0,0.793448,-1.700399,1.834552,-0.807031,0.157978,0.365991,-1.739793,-0.637022,1.103176,9.139390,1.059680,12.346377,3.513741
0.374756,0.024289,0.018254,0.582702,1,0,0,0,0,0,0,1,-0.166558,-1.440394,0.380787,1.197338,0.862604,0.147688,-0.295800,1.044978,-0.495670,6.031817,0.830122,5.872156,2.423253
0.024542,0.044552,0.908388,0.022518,0,0,1,0,0,0,1,0,-0.558358,0.489679,1.152691,2.403400,-0.297233,0.410723,-0.183586,0.489896,-1.385183,7.370749,0.735553,10.106052,3.179002
0.016568,0.022215,0.941526,0.019691,0,0,1,0,0,0,1,0,0.270910,-2.191352,-1.352699,0.146533,-2.891311,0.535047,3.168122,-0.012366,1.305572,11.873912,1.065394,27.114305,5.207140
0.093104,0.035920,0.055108,0.815867,0,0,0,1,0,0,0,1,-0.761534,0.592529,1.848454,0.451909,2.401163,-0.726598,-1.228925,-0.565206,2.005130,10.581448,0.672306,16.695818,4.086052
0.163199,0.369255,0.213151,0.254394,0,1,0,0,0,0,0,1,1.285398,-1.933852,-1.147083,1.611394,-0.477222,0.913064,-1.369519,0.259383,3.039668,12.036583,0.843370,21.548292,4.642014
0.024868,0.040449,0.897271,0.037412,0,0,1,0,0,0,1,0,-1.563586,-3.791956,1.267730,-0.924763,-3.985565,1.003162,3.680372,0.391391,0.543995,17.152520,1.159026,50.171375,7.083176
0.811776,0.055040,0.035786,0.097398,1,0,0,0,1,0,0,0,-0.233656,-1.339638,-3.690022,-2.172567,1.507598,-0.812221,-2.624259,-0.477679,-1.707253,14.564893,1.668686,33.147715,5.757405
0.008828,0.968937,0.019176,0.003058,0,1,0,0,0,1,0,0,0.614753,1.256563,2.233297,-1.767540,-1.513032,0.665392,-2.074680,-0.161528,-0.228649,10.515434,1.078436,17.183366,4.145282
0.437751,0.205243,0.242505,0.114501,0,1,0,0,1,0,0,0,-1.922842,1.283306,-0.265434,-1.699974,0.546701,-1.089740,-0.102926,-1.006645,0.058380,7.975948,1.425562,10.818314,3.289121
0.305297,0.016170,0.002700,0.675833,0,0,0,1,0,0,0,1,0.196759,-2.255731,-0.866475,-0.973220,0.874965,0.742760,-0.196524,0.419588,-0.001420,6.527442,1.237452,8.356907,2.890831
0.091840,0.041439,0.053414,0.813307,0,0,0,1,0,0,0,1,-2.167263,-1.008109,1.048138,-0.427165,-0.849129,-0.484095,0.764395,0.397575,1.797775,8.943644,1.089569,11.924104,3.453130
0.122172,0.050289,0.033247,0.794292,0,0,0,1,0,0,0,1,-0.803587,-1.928995,0.393065,-0.464117,-0.507872,-1.108030,-0.354598,-1.976440,0.598394,8.135098,1.629505,10.612473,3.257679
0.018004,0.026164,0.901325,0.054507,0,0,1,0,0,0,1,0,-0.993105,-3.022127,-0.018553,1.173587,-2.371585,0.761170,1.667267,-0.096304,1.254077,11.357775,1.116779,22.062718,4.697097
0.121080,0.033306,0.051479,0.794135,0,0,0,1,0,0,0,1,0.175453,0.354364,1.658473,-1.274608,3.559342,-0.746978,-2.526693,-0.646772,-1.409181,12.351864,1.055418,26.546690,5.152348
0.017619,0.942598,0.030346,0.009437,0,1,0,0,0,1,0,0,-0.468514,1.318847,2.848846,0.015429,-2.788141,-1.542545,-2.529987,0.754713,1.434224,13.701246,1.058985,29.255624,5.408847
0.553208,0.290886,0.023767,0.132139,1,0,0,0,1,0,0,0,0.871031,-1.332361,-0.307061,-1.232413,0.570444,1.148551,-1.368907,-1.202192,0.256875,8.289835,1.285657,9.176742,3.029314
0.103380,0.045252,0.136430,0.714938,0,0,0,1,0,0,0,1,-1.094669,-4.168879,-0.316130,1.934321,-2.390880,-0.155554,0.256239,-1.146717,-0.550112,12.013501,1.465711,29.843134,5.462887
0.281833,0.010421,0.012627,0.695119,0,0,0,1,0,0,0,1,-0.905469,-0.267090,-1.224878,0.235557,1.978129,-0.456679,1.048278,0.621454,0.545840,7.283374,0.818317,8.351608,2.889915
0.656408,0.031078,0.004812,0.307702,1,0,0,0,1,0,0,0,0.637058,-0.838679,-0.294584,-0.814544,0.630403,-0.454950,-0.180997,0.016318,0.212379,4.079912,1.227383,2.542005,1.594367
0.019410,0.047662,0.899552,0.033376,0,0,1,0,0,0,1,0,1.313989,-1.440733,1.722744,0.712531,-0.010082,0.215002,-1.127340,-1.423528,-1.153733,9.119682,1.114846,11.952581,3.457250
0.091837,0.018033,0.019362,0.870767,0,0,0,1,0,0,0,1,0.841649,-0.005164,1.038289,0.173001,2.852705,-0.504199,-2.428091,0.477429,0.286656,8.607183,0.775202,16.414252,4.051451
0.061347,0.871465,0.041205,0.025983,0,1,0,0,0,1,0,0,-1.337936,0.018529,-1.739262,-1.324267,-0.997402,0.901605,-0.519859,1.069708,0.538154,8.446722,1.355976,10.080972,3.175055
0.893835,0.026350,0.024445,0.055370,1,0,0,0,1,0,0,0,0.096679,2.256786,1.482386,-0.689560,0.087419,0.915792,2.607153,0.029764,-0.012831,8.178370,0.425017,15.420005,3.926831
0.014979,0.964354,0.014919,0.005749,0,1,0,0,0,1,0,0,-0.218829,1.524312,2.058602,-1.477059,-2.507102,0.427631,-2.058111,0.347455,-0.070352,10.689453,1.148507,19.620883,4.429547
0.124884,0.346072,0.433310,0.095734,0,1,0,0,0,0,1,0,-1.127524,1.274591,2.160776,1.682855,-1.918804,0.744119,-2.036173,2.926928,1.632246,15.504016,0.675129,30.009503,5.478093
0.172308,0.048174,0.704004,0.075514,0,0,1,0,0,0,1,0,1.085239,2.065907,0.741931,0.404999,1.838790,-0.004441,-0.909986,-0.797153,-0.994201,8.842647,0.669752,11.993333,3.463139
0.024048,0.282241,0.318098,0.375613,0,1,0,0,0,0,0,1,1.039904,-1.111656,1.391409,0.695660,-0.227383,-0.070778,-1.375228,0.795124,1.440003,8.147145,0.719684,9.390937,3.064464
0.016866,0.952395,0.025909,0.004830,0,1,0,0,0,1,0,0,0.539348,1.479190,0.989867,-1.285628,-0.326409,-1.062579,-1.090720,-0.095110,0.380271,7.249122,1.056706,7.690514,2.773178
0.015302,0.953676,0.025665,0.005357,0,1,0,0,0,1,0,0,0.350170,-0.078643,0.252154,-0.968602,-1.153236,1.544826,-0.066567,-0.082431,-0.619776,5.116405,1.119686,5.242364,2.289621
0.030389,0.039223,0.892653,0.037736,0,0,1,0,0,0,1,0,1.246094,-0.418107,-1.421190,0.146572,-0.418274,-0.160986,0.563127,-1.694810,-0.200961,6.270121,1.293000,7.199576,2.683203
0.067452,0.022375,0.273881,0.636293,0,0,0,1,0,0,0,1,-0.401441,-0.754027,-2.101768,0.620478,-0.204376,0.020352,1.958580,-2.264566,-1.066725,9.392313,1.353045,15.676514,3.959358
0.822070,0.045835,0.038010,0.094085,1,0,0,0,1,0,0,0,-2.136529,1.895952,2.941496,-0.030132,-0.099638,-1.011921,4.437120,0.688288,-0.688108,13.929184,0.677781,38.481876,6.203376
0.297918,0.039375,0.272126,0.390582,0,0,0,1,1,0,0,0,0.593820,0.400398,1.602901,0.191217,1.054340,-1.396268,-0.238890,0.127172,-0.485831,6.090837,0.758073,6.489266,2.547404
0.085625,0.874620,0.020694,0.019061,0,1,0,0,0,1,0,0,0.243914,0.255645,-0.527628,-2.114465,-0.267242,0.057069,-0.523738,-0.682822,1.505145,6.177668,1.242766,7.954886,2.820441
0.266667,0.023682,0.008413,0.701239,0,0,0,1,0,0,0,1,-2.028304,-2.841930,-0.559413,0.140304,0.645659,0.059497,-0.340502,-1.031490,-0.800621,8.447720,1.586152,14.764534,3.842465
0.028070,0.042675,0.903502,0.025753,0,0,1,0,0,0,1,0,0.001851,0.771444,-1.764271,1.499905,0.558067,-0.767309,-0.016744,0.477529,-0.698305,6.555425,0.992470,7.573643,2.752025
0.034084,0.911798,0.032067,0.022052,0,1,0,0,0,1,0,0,-2.294987,-5.294557,1.057945,-0.183635,1.298180,0.926289,-2.897649,-1.115573,0.334247,15.403062,1.398295,46.748145,6.837262
0.340068,0.142995,0.471392,0.045544,0,0,1,0,0,0,1,0,-0.857229,1.618306,-0.156075,-0.034763,1.311536,0.691994,-2.306630,-0.830479,-0.108379,7.915391,1.065740,11.600289,3.405920
0.506616,0.186176,0.025909,0.281299,1,0,0,0,1,0,0,0,-0.178592,-2.241141,-1.629536,-0.361348,0.596807,1.183205,-0.827245,-0.640866,1.726171,9.384911,1.213888,13.671431,3.697490
0.016469,0.949734,0.026395,0.007403,0,1,0,0,0,1,0,0,-0.689325,1.353731,-2.321751,-0.368353,-3.383451,1.039225,-0.076716,-0.799166,-1.185916,11.217634,1.452855,22.412646,4.734200
0.452548,0.016819,0.023934,0.506700,0,0,0,1,0,0,0,1,0.385604,-0.616716,0.391321,0.928203,1.568859,-1.769107,1.119476,-1.256605,1.345772,9.381663,0.796343,11.778165,3.431933
0.023033,0.043416,0.897063,0.036489,0,0,1,0,0,0,1,0,2.796661,-0.443976,-0.608035,0.729268,-1.043292,-0.743640,1.690192,1.731472,0.999430,10.785966,0.591987,17.415029,4.173132
0.257205,0.120189,0.533698,0.088908,0,0,1,0,0,0,1,0,0.328999,3.958035,-0.995096,-0.670586,1.146389,-1.634641,-0.067087,1.083338,0.314153,10.198324,0.756487,22.477256,4.741018
0.388399,0.351452,0.185626,0.074523,1,0,0,0,1,0,0,0,-1.251552,0.224717,0.489742,-0.327889,0.770303,0.874894,-1.544178,0.221279,0.053119,5.757673,1.067999,5.759317,2.399858
0.026875,0.948201,0.012579,0.012345,0,1,0,0,0,1,0,0,-1.113192,-1.529822,-1.431070,0.850112,-0.704893,-0.724397,-1.134482,1.018772,0.220434,8.727174,1.485681,9.745366,3.121757
0.799338,0.033308,0.089769,0.077586,1,0,0,0,1,0,0,0,0.105853,2.038245,2.260212,0.962172,-0.081415,-1.690685,1.795567,1.547188,1.191988,11.673325,0.395656,20.103712,4.483716
0.022996,0.941645,0.019455,0.015904,0,1,0,0,0,1,0,0,1.603640,-4.453963,-0.069499,-0.524436,-0.560454,-0.878508,-2.485927,2.338757,-0.943601,13.858785,1.330445,36.315196,6.026209
0.111827,0.208338,0.074294,0.605542,0,0,0,1,0,0,0,1,1.358498,-1.485554,0.310551,0.251993,-0.120714,0.598354,-0.645184,0.716947,0.829492,6.317287,0.757173,6.203262,2.490635
0.130136,0.062635,0.122905,0.684324,0,0,0,1,0,0,0,1,0.450554,-0.505012,1.227293,0.363507,1.616178,0.703711,-1.127516,0.606744,-0.165011,6.765526,0.596809,6.870321,2.621130
0.616952,0.090934,0.035676,0.256438,1,0,0,0,1,0,0,0,-0.701473,-1.814581,-0.036869,1.921076,0.283027,-0.862281,-0.787659,-0.888694,-1.558767,8.854427,1.425360,12.140232,3.484284
0.208175,0.469553,0.003833,0.318439,0,1,0,0,0,0,0,1,0.029037,-2.069815,-0.370577,-0.214190,0.193431,-0.603392,-1.486384,-0.602282,0.679927,6.249035,1.526928,7.904061,2.811416
0.102847,0.028388,0.053597,0.815168,0,0,0,1,0,0,0,1,-0.318458,0.086636,-1.919496,-1.191340,0.429988,-0.500040,2.474840,0.659750,-0.662194,8.242742,1.088140,12.646211,3.556151
0.116378,0.040375,0.050578,0.792669,0,0,0,1,0,0,0,1,-0.136218,0.941181,1.144201,0.766044,3.549406,0.004898,-2.808323,-0.441880,1.418527,11.210678,0.707018,25.492858,5.049045
0.088427,0.049889,0.033150,0.828535,0,0,0,1,0,0,0,1,-0.404235,-1.889159,0.377279,-0.275035,-0.862147,-0.272864,-0.000701,-0.277653,0.494544,4.853617,1.459502,5.089729,2.256043
0.270552,0.110690,0.022938,0.595821,0,0,0,1,0,0,0,1,0.032006,-1.972203,0.178628,0.160333,-0.284377,-0.595475,-0.653353,-0.494952,-0.413563,4.784890,1.589481,5.226566,2.286169
0.057635,0.122495,0.643001,0.176870,0,0,1,0,0,0,1,0,0.274132,0.450141,1.486048,0.763933,-0.278477,-2.354299,-0.101129,0.588887,1.082766,7.379812,0.800632,10.219378,3.196776
0.768335,0.054376,0.053371,0.123918,1,0,0,0,1,0,0,0,0.972913,0.759719,1.569436,-1.169564,1.529860,0.433572,1.729775,-1.987773,0.735598,10.888210,0.611110,15.367666,3.920161
0.019906,0.048313,0.919653,0.012128,0,0,1,0,0,0,1,0,1.691099,0.593187,1.373853,-0.137406,-0.107628,-0.272453,-0.535406,-1.610182,-1.650823,7.972037,1.066488,10.808416,3.287616
0.843638,0.038882,0.036073,0.081408,1,0,0,0,1,0,0,0,-1.417106,3.878689,1.409981,-0.405058,2.228532,-0.373365,0.679887,0.924642,1.190204,12.507464,0.479757,27.044087,5.200393
0.014398,0.049732,0.913306,0.022564,0,0,1,0,0,0,1,0,2.606621,0.298105,1.110042,1.216421,-0.852012,-0.492860,-1.428156,0.473135,0.074304,8.551656,0.720331,12.833056,3.582325
0.133836,0.071116,0.017326,0.777722,0,0,0,1,0,0,0,1,-0.258597,-2.198178,-0.245918,0.683475,1.901492,-0.240324,-3.140969,1.219582,-0.553430,10.441965,1.207252,20.759251,4.556232
0.014553,0.928407,0.048474,0.008566,0,1,0,0,0,1,0,0,0.427058,-0.023593,0.932440,-0.457513,-0.478590,0.575039,-0.621191,0.492573,-0.052972,4.060969,0.831164,2.452728,1.566119
0.059022,0.775053,0.135031,0.030894,0,1,0,0,0,1,0,0,0.360808,1.980132,0.823817,1.565778,-3.625824,-0.256092,-1.403402,0.431930,0.971308,11.419091,0.941651,23.493163,4.846975
0.020617,0.046143,0.898066,0.035173,0,0,1,0,0,0,1,0,-1.410963,0.521584,2.269235,2.379993,1.504573,2.355831,-1.456481,-0.191463,2.113744,14.203867,0.486169,27.516249,5.245593
0.021871,0.047533,0.901380,0.029217,0,0,1,0,0,0,1,0,-1.801526,0.624005,-2.011019,1.888135,0.155680,1.598187,0.350721,0.819437,-0.717600,9.966310,0.922363,15.131999,3.889987
0.105706,0.036375,0.085730,0.772189,0,0,0,1,0,0,0,1,-0.911227,0.917627,-1.878763,-0.779668,0.250515,0.615408,2.862960,0.224265,-1.506352,9.946785,1.016707,16.767422,4.094804
0.007248,0.964037,0.024815,0.003900,0,1,0,0,0,1,0,0,-0.477041,0.994877,1.251198,-0.961231,-1.163515,-0.601295,-1.197457,-1.171539,1.533151,9.351304,1.183738,10.579092,3.252552
0.022636,0.947276,0.016897,0.013190,0,1,0,0,0,1,0,0,0.948679,-3.455502,-1.047288,-0.834560,-1.903668,-1.757058,-1.897620,0.075042,0.075221,11.994638,1.653676,24.957244,4.995723
0.160321,0.016775,0.014291,0.808613,0,0,0,1,0,0,0,1,0.957034,-1.502805,-0.427577,-1.771664,3.026088,0.670160,-0.900657,0.785683,-0.991600,11.033268,1.012034,18.514027,4.302793
0.681786,0.093500,0.110520,0.114194,1,0,0,0,1,0,0,0,0.008463,1.871243,2.240556,-0.307574,-1.428281,0.824218,2.633145,-0.592258,1.306112,11.211850,0.515304,20.325788,4.508413
0.027436,0.030811,0.915112,0.026641,0,0,1,0,0,0,1,0,-1.230502,2.478149,-2.586646,0.264150,1.865337,1.119523,-0.998264,-1.148866,0.495852,12.187289,0.981491,21.710978,4.659504
0.024067,0.024364,0.857282,0.094287,0,0,1,0,0,0,1,0,-0.291463,-0.992386,-0.661666,0.268572,-1.141639,-0.512603,1.442366,-1.111715,-0.497883,6.920293,1.450182,6.710032,2.590373
0.067582,0.048631,0.744081,0.139706,0,0,1,0,0,0,1,0,-0.252750,-2.760937,-0.103064,1.569684,-2.794852,-0.041946,2.508513,-2.150600,-0.859024,13.041370,1.299142,29.629783,5.443325
0.815986,0.033443,0.036541,0.114030,1,0,0,0,1,0,0,0,0.087751,1.491246,1.171021,-0.906663,0.925880,1.715913,2.912251,0.824780,-0.692421,10.727926,0.406215,17.867369,4.226981
0.011941,0.956535,0.025627,0.005897,0,1,0,0,0,1,0,0,0.169058,0.532656,-2.584801,-0.162609,-2.526118,-0.863192,-0.126496,1.772750,-0.006508,8.744188,1.304113,17.305000,4.159928
0.509134,0.023100,0.029655,0.438111,1,0,0,0,1,0,0,0,1.764477,-2.416304,0.950376,-0.235282,0.236621,-1.721977,0.017586,-0.406566,0.841173,8.590362,1.087014,13.804848,3.715488
0.833469,0.020481,0.047345,0.098704,1,0,0,0,1,0,0,0,1.245901,-0.830514,1.543771,0.328888,0.023530,-0.437765,2.267752,-0.866176,-2.143173,9.687470,0.903865,15.411761,3.925782
0.342629,0.025307,0.018080,0.613984,1,0,0,0,0,0,0,1,0.147562,-1.370130,0.759680,-0.183639,0.924719,1.818951,1.429723,0.286194,0.765730,7.686328,0.501814,9.385913,3.063644
0.027286,0.044515,0.902061,0.026138,0,0,1,0,0,0,1,0,1.313305,0.066336,1.993194,0.080485,-0.200311,-0.336319,0.285719,-2.050592,-0.180090,6.506351,0.898484,10.180701,3.190721
0.022516,0.041513,0.897163,0.038808,0,0,1,0,0,0,1,0,-0.335252,-2.909769,-1.483933,-1.172956,-2.596122,1.438954,1.807834,1.763765,-1.894996,15.403581,1.322565,30.937611,5.562159
0.126765,0.036155,0.058829,0.778251,0,0,0,1,0,0,0,1,-0.109970,-0.740604,-1.968899,-1.396997,0.161755,1.101751,1.312023,-0.036534,1.102664,7.931197,1.058941,10.567379,3.250750
0.023460,0.047114,0.906752,0.022675,0,0,1,0,0,0,1,0,0.281078,1.526783,0.447601,0.344047,1.311884,2.565541,-1.692647,-0.031792,-1.798668,10.000041,0.762127,17.133098,4.139215
0.158159,0.021348,0.019369,0.801125,0,0,0,1,0,0,0,1,1.965736,-1.521810,-0.803937,0.763963,1.807900,0.402549,0.041956,-1.055295,2.054543,10.417689,0.697038,16.177081,4.022074
0.183204,0.025707,0.065773,0.725316,0,0,0,1,0,0,0,1,-1.880083,0.266340,-1.002902,-0.611210,2.261934,1.187631,1.134839,-0.951158,-0.566168,9.862265,1.014310,14.024959,3.744991
0.016221,0.951332,0.026112,0.006335,0,1,0,0,0,1,0,0,1.022143,2.456028,1.616583,-1.390308,-1.048188,-0.016664,-1.949956,0.711659,0.320336,10.531865,0.861358,17.133525,4.139266
0.017262,0.948458,0.028284,0.005996,0,1,0,0,0,1,0,0,-0.894062,-0.305464,-0.562902,0.952251,-1.034187,-0.523266,-0.824870,0.659369,-0.665160,6.421531,1.475952,5.017262,2.239924
0.030438,0.595613,0.327888,0.046061,0,1,0,0,0,1,0,0,0.816593,-1.286613,2.491865,-0.622307,1.545300,2.209811,-1.506763,0.675426,-1.228215,12.382893,0.771718,20.425118,4.519416
0.090950,0.033862,0.065954,0.809234,0,0,0,1,0,0,0,1,-1.069750,0.419894,-1.796933,-1.832872,-1.001897,0.248281,3.526489,-0.025040,-0.443789,10.364945,1.141668,21.608205,4.648463
0.032267,0.094304,0.861254,0.012175,0,0,1,0,0,0,1,0,-0.829825,1.905622,0.544588,0.079845,-0.435586,0.452466,0.429390,-0.134825,0.212703,5.024850,0.676868,5.265213,2.294605
0.852764,0.056104,0.029700,0.061432,1,0,0,0,1,0,0,0,-2.038142,0.023113,-2.080467,-0.125564,1.064556,0.711721,-1.984641,-0.417797,0.346056,8.792057,1.395777,14.371602,3.790990
0.023290,0.075917,0.675884,0.224908,0,0,1,0,0,0,1,0,-1.474851,-1.160924,2.209537,0.834456,0.310537,0.139265,-1.356244,0.809203,0.447676,8.742693,0.926728,11.911750,3.451340
0.815338,0.003279,0.005591,0.175792,1,0,0,0,1,0,0,0,-0.374349,-0.396657,0.382696,-0.470908,1.352178,-1.182623,0.872306,0.345943,-1.061279,6.438939,1.073105,5.899574,2.428904
0.044930,0.745547,0.153808,0.055715,0,1,0,0,0,1,0,0,0.001137,-0.046951,1.341296,-0.249308,0.867211,1.556912,-0.738350,0.349192,1.315851,6.466208,0.462590,7.438025,2.727274
0.475930,0.031236,0.004465,0.488369,1,0,0,0,0,0,0,1,0.114769,-0.795546,0.393436,-1.166849,1.570740,0.910984,0.089968,0.084764,0.703635,5.830691,0.739987,5.969891,2.443336
0.014802,0.039561,0.929707,0.015930,0,1,0,0,0,0,1,0,0.178345,1.666339,1.531104,1.509616,0.767831,1.103512,-1.535121,1.386730,0.000906,9.679504,0.400809,13.518633,3.676769
0.839170,0.060263,0.018069,0.082498,1,0,0,0,1,0,0,0,-1.667054,0.147996,-0.937783,-0.448891,0.820213,-1.438848,-1.587382,-0.553568,0.162828,7.764563,1.595781,9.477677,3.078584
0.771052,0.031116,0.068182,0.129650,1,0,0,0,1,0,0,0,-1.443497,1.858121,1.068620,1.615264,1.473054,-0.035531,0.816101,1.474473,2.025990,11.810651,0.312136,18.403201,4.289895
0.087965,0.016397,0.329717,0.565921,0,0,0,1,0,0,0,1,0.924018,-0.624383,-0.630033,1.442745,-0.030199,1.525460,2.419054,0.475761,-0.639201,8.710854,0.542165,12.536807,3.540735
0.347260,0.054505,0.550119,0.048116,0,0,1,0,0,0,1,0,1.016858,1.595006,1.093167,-0.487720,0.944308,0.020420,0.308366,-1.119560,-2.165784,8.751189,0.883763,11.942188,3.455747
0.648495,0.020313,0.226475,0.104717,1,0,0,0,1,0,0,0,0.333928,0.422609,0.990162,-0.279289,1.074989,0.417169,0.588358,-1.016204,-1.184265,6.306973,0.807771,5.459480,2.336553
0.014142,0.954173,0.025582,0.006103,0,1,0,0,0,1,0,0,0.089383,1.294405,1.723912,-0.310027,-2.568280,0.748624,-1.694409,-1.218946,-1.361912,11.009898,1.258200,18.119619,4.256715
0.156065,0.017382,0.034035,0.792519,0,0,0,1,0,0,0,1,-0.329166,0.792868,-1.352168,-1.005185,1.414964,0.271655,2.236116,-0.677355,1.038205,9.117682,0.771814,12.188559,3.491212
0.102791,0.042585,0.056957,0.797668,0,0,0,1,0,0,0,1,-1.072700,-2.526659,1.198915,-0.445732,-0.914281,0.911454,0.489311,-0.300622,0.455219,8.314893,1.217942,11.374447,3.372602
0.123495,0.403976,0.404138,0.068390,0,1,0,0,0,0,1,0,-0.529583,1.262458,0.814524,-0.127930,0.792370,-1.225855,-0.875882,-2.036991,-0.710161,8.375754,1.276515,10.105475,3.178911
0.349588,0.168596,0.291276,0.190541,0,0,0,1,0,0,1,0,-0.037991,-0.349563,1.692112,-1.278319,-0.487810,0.787610,1.157400,1.296344,-0.946732,8.033881,0.800662,9.395652,3.065233
0.384895,0.352188,0.043342,0.219574,1,0,0,0,1,0,0,0,0.170633,-1.408331,-0.644315,1.606743,0.528189,-0.550366,-0.907270,-0.787896,0.188730,6.792473,1.226129,7.070701,2.659079
0.605462,0.057722,0.009987,0.326829,1,0,0,0,1,0,0,0,-0.949985,-1.550495,-1.974950,-0.001458,1.873643,-0.197097,-0.979082,0.111209,-0.029599,7.667518,1.359922,11.728166,3.424641
0.063601,0.620776,0.199555,0.116068,0,1,0,0,0,1,0,0,-0.130886,-0.783523,-1.202535,0.934007,-0.056648,-1.629906,1.276854,2.019997,1.024620,9.058976,0.862388,12.369892,3.517086
0.406347,0.443329,0.025985,0.124339,0,1,0,0,1,0,0,0,-0.308270,-1.909367,-1.021980,1.116158,0.762505,1.376068,-0.990436,-0.670356,0.118559,8.273699,1.161374,9.950338,3.154416
0.291604,0.028315,0.021883,0.658199,0,0,0,1,0,0,0,1,0.524850,-1.193439,0.892979,-0.963102,1.498455,-1.386557,-1.497038,-0.490790,-2.333435,10.780645,1.418673,15.519565,3.939488
0.135778,0.037089,0.005976,0.821157,0,0,0,1,0,0,0,1,0.120805,-2.213090,0.877948,0.136871,0.679333,-0.692040,-1.161587,0.772353,0.223001,6.877028,1.142497,8.637843,2.939021
0.097482,0.054685,0.028091,0.819742,0,0,0,1,0,0,0,1,0.156627,-1.873860,0.620672,0.521512,-0.339077,-0.261089,-0.354196,0.882931,0.610676,5.620640,1.005019,5.654180,2.377852
0.808334,0.048328,0.035478,0.107860,1,0,0,0,1,0,0,0,1.570411,0.739367,-0.749824,-0.646113,1.219607,-0.613026,-0.804126,0.232561,-0.546590,7.121625,0.948787,6.855258,2.618255
