prob0,prob1,prob2,actual0,actual1,actual2,predicted0,predicted1,predicted2,feature0,feature1,feature2,feature3,distance_man,distance_cosine,distance_euclidean,distance_minkowski
0.968600,0.016209,0.015190,1,0,0,1,0,0,5.300000,3.700000,1.500000,0.200000,10.700000,0.194098,44.070000,6.638524
0.971443,0.014157,0.014401,1,0,0,1,0,0,5.000000,3.300000,1.400000,0.200000,9.900000,0.195839,37.890000,6.155485
0.016105,0.951256,0.032638,0,1,0,0,1,0,7.000000,3.200000,4.700000,1.400000,16.300000,0.106980,83.290000,9.126336
0.010481,0.969853,0.019666,0,1,0,0,1,0,6.400000,3.200000,4.500000,1.500000,15.600000,0.091425,73.700000,8.584870
0.015587,0.833970,0.150443,0,1,0,0,1,0,6.900000,3.100000,4.900000,1.500000,16.400000,0.102524,83.480000,9.136739
0.006315,0.970198,0.023487,0,1,0,0,1,0,5.500000,2.300000,4.000000,1.300000,13.100000,0.102234,53.230000,7.295889
0.009645,0.940946,0.049408,0,1,0,0,1,0,6.500000,2.800000,4.600000,1.500000,15.400000,0.101854,73.500000,8.573214
0.007678,0.954612,0.037710,0,1,0,0,1,0,5.700000,2.800000,4.500000,1.300000,14.300000,0.093920,62.270000,7.891134
0.011829,0.892970,0.095201,0,1,0,0,1,0,6.300000,3.300000,4.700000,1.600000,15.900000,0.083417,75.230000,8.673523
0.024370,0.943571,0.032059,0,1,0,0,1,0,4.900000,2.400000,3.300000,1.000000,11.600000,0.101396,41.660000,6.454456
0.010525,0.973546,0.015928,0,1,0,0,1,0,6.600000,2.900000,4.600000,1.300000,15.400000,0.109812,74.820000,8.649855
0.007424,0.965728,0.026848,0,1,0,0,1,0,5.200000,2.700000,3.900000,1.400000,13.200000,0.080312,51.500000,7.176350
0.016125,0.940011,0.043864,0,1,0,0,1,0,5.000000,2.000000,3.500000,1.000000,11.500000,0.115385,42.250000,6.500000
0.007529,0.980796,0.011675,0,1,0,0,1,0,5.900000,3.000000,4.200000,1.500000,14.600000,0.085354,63.700000,7.981228
0.008539,0.986152,0.005310,0,1,0,0,1,0,6.000000,2.200000,4.000000,1.000000,13.200000,0.132180,57.840000,7.605261
0.008935,0.918231,0.072834,0,1,0,0,1,0,6.100000,2.900000,4.700000,1.400000,15.100000,0.095468,69.670000,8.346856
0.009980,0.985504,0.004516,0,1,0,0,1,0,5.600000,2.900000,3.600000,1.300000,13.400000,0.091771,54.420000,7.376991
0.011487,0.980738,0.007776,0,1,0,0,1,0,6.700000,3.100000,4.400000,1.400000,15.600000,0.104217,75.820000,8.707468
0.008798,0.909409,0.081792,0,1,0,0,1,0,5.600000,3.000000,4.500000,1.500000,14.600000,0.079263,62.860000,7.928430
0.007148,0.989676,0.003176,0,1,0,0,1,0,5.800000,2.700000,4.100000,1.000000,13.600000,0.112758,58.740000,7.664203
0.010314,0.870405,0.119280,0,1,0,0,1,0,6.200000,2.200000,4.500000,1.500000,14.400000,0.112260,65.780000,8.110487
0.006503,0.987769,0.005728,0,1,0,0,1,0,5.600000,2.500000,3.900000,1.100000,13.100000,0.108905,54.030000,7.350510
0.012537,0.465938,0.521525,0,1,0,0,1,0,5.900000,3.200000,4.800000,1.800000,15.700000,0.070534,71.330000,8.445709
0.007162,0.990008,0.002829,0,1,0,0,1,0,6.100000,2.800000,4.000000,1.300000,14.200000,0.103633,62.740000,7.920859
0.012107,0.570825,0.417068,0,1,0,0,1,0,6.300000,2.500000,4.900000,1.500000,15.200000,0.105573,72.200000,8.497058
0.009236,0.956330,0.034435,0,1,0,0,1,0,6.100000,2.800000,4.700000,1.200000,14.800000,0.106421,68.580000,8.281304
0.008496,0.987014,0.004490,0,1,0,0,1,0,6.400000,2.900000,4.300000,1.300000,14.900000,0.106679,69.550000,8.339664
0.010140,0.981548,0.008312,0,1,0,0,1,0,6.600000,3.000000,4.400000,1.400000,15.400000,0.104167,73.880000,8.595348
0.012925,0.907721,0.079354,0,1,0,0,1,0,6.800000,2.800000,4.800000,1.400000,15.800000,0.111630,79.080000,8.892694
0.013353,0.437961,0.548686,0,1,0,0,0,1,6.700000,3.000000,5.000000,1.700000,16.400000,0.093244,81.780000,9.043230
0.007858,0.946601,0.045541,0,1,0,0,1,0,6.000000,2.900000,4.500000,1.500000,14.900000,0.089226,66.910000,8.179853
0.011458,0.984556,0.003986,0,1,0,0,1,0,5.700000,2.600000,3.500000,1.000000,12.800000,0.116716,52.500000,7.245688
0.006896,0.985309,0.007795,0,1,0,0,1,0,5.500000,2.400000,3.800000,1.100000,12.800000,0.109564,51.660000,7.187489
0.008087,0.985602,0.006311,0,1,0,0,1,0,5.500000,2.400000,3.700000,1.000000,12.600000,0.115217,50.700000,7.120393
0.006617,0.990065,0.003318,0,1,0,0,1,0,5.800000,2.700000,3.900000,1.200000,13.600000,0.103866,57.580000,7.588149
0.009998,0.162762,0.827240,0,1,0,0,0,1,6.000000,2.700000,5.100000,1.600000,15.400000,0.091663,71.860000,8.477028
0.009659,0.869509,0.120832,0,1,0,0,1,0,5.400000,3.000000,4.500000,1.500000,14.400000,0.075555,60.660000,7.788453
0.012432,0.944079,0.043490,0,1,0,0,1,0,6.000000,3.400000,4.500000,1.600000,15.500000,0.076136,70.370000,8.388683
0.012097,0.934308,0.053595,0,1,0,0,1,0,6.700000,3.100000,4.700000,1.500000,16.000000,0.099017,78.840000,8.879189
0.009439,0.967588,0.022973,0,1,0,0,1,0,6.300000,2.300000,4.400000,1.300000,14.300000,0.120096,66.030000,8.125885
0.007701,0.984897,0.007402,0,1,0,0,1,0,5.600000,3.000000,4.100000,1.300000,14.000000,0.087594,58.860000,7.672027
0.006012,0.978571,0.015417,0,1,0,0,1,0,5.500000,2.500000,4.000000,1.300000,13.300000,0.096637,54.190000,7.361386
0.007346,0.955905,0.036749,0,1,0,0,1,0,5.500000,2.600000,4.400000,1.200000,13.700000,0.099074,57.810000,7.603289
0.008780,0.955449,0.035771,0,1,0,0,1,0,6.100000,3.000000,4.600000,1.400000,15.100000,0.093253,69.330000,8.326464
0.006195,0.989174,0.004631,0,1,0,0,1,0,5.800000,2.600000,4.000000,1.200000,13.600000,0.105882,57.840000,7.605261
0.021474,0.950247,0.028278,0,1,0,0,1,0,5.000000,2.300000,3.300000,1.000000,11.600000,0.106952,42.180000,6.494613
0.006343,0.978244,0.015412,0,1,0,0,1,0,5.600000,2.700000,4.200000,1.300000,13.800000,0.093829,57.980000,7.614460
0.007790,0.986482,0.005728,0,1,0,0,1,0,5.700000,3.000000,4.200000,1.200000,14.100000,0.094142,60.570000,7.782673
0.006953,0.984161,0.008886,0,1,0,0,1,0,5.700000,2.900000,4.200000,1.300000,14.100000,0.091588,60.230000,7.760799
0.007630,0.987066,0.005304,0,1,0,0,1,0,6.200000,2.900000,4.300000,1.300000,14.700000,0.102256,67.030000,8.187185
0.041810,0.930485,0.027705,0,1,0,0,1,0,5.100000,2.500000,3.000000,1.100000,11.700000,0.102334,42.470000,6.516901
0.006421,0.986222,0.007356,0,1,0,0,1,0,5.700000,2.800000,4.100000,1.300000,13.900000,0.093881,58.830000,7.670072
0.013396,0.002688,0.983916,0,0,1,0,0,1,6.300000,3.300000,6.000000,2.500000,18.100000,0.060700,92.830000,9.634833
0.008236,0.031342,0.960422,0,0,1,0,0,1,5.800000,2.700000,5.100000,1.900000,15.500000,0.077316,70.550000,8.399405
0.008077,0.004450,0.987473,0,0,1,0,0,1,7.100000,3.000000,5.900000,2.100000,18.100000,0.088736,98.630000,9.931264
0.008839,0.008321,0.982841,0,0,1,0,0,1,6.300000,2.900000,5.600000,1.800000,16.600000,0.087306,82.700000,9.093954
0.008782,0.002067,0.989151,0,0,1,0,0,1,6.500000,3.000000,5.800000,2.200000,17.500000,0.076282,89.730000,9.472592
0.010572,0.009481,0.979947,0,0,1,0,0,1,7.600000,3.000000,6.600000,2.100000,19.300000,0.099075,114.730000,10.711209
0.012332,0.355307,0.632361,0,0,1,0,0,1,4.900000,2.500000,4.500000,1.700000,13.600000,0.069453,53.400000,7.307530
0.009615,0.007462,0.982923,0,0,1,0,0,1,7.300000,2.900000,6.300000,1.800000,18.300000,0.105474,104.630000,10.228881
0.010258,0.005481,0.984261,0,0,1,0,0,1,6.700000,2.500000,5.800000,1.800000,16.800000,0.104659,88.020000,9.381897
0.011555,0.006028,0.982417,0,0,1,0,0,1,7.200000,3.600000,6.100000,2.500000,19.400000,0.067739,108.260000,10.404807
0.011284,0.080990,0.907725,0,0,1,0,0,1,6.500000,3.200000,5.100000,2.000000,16.800000,0.075190,82.500000,9.082951
0.008703,0.019502,0.971794,0,0,1,0,0,1,6.400000,2.700000,5.300000,1.900000,16.300000,0.088517,79.950000,8.941476
0.008607,0.008141,0.983252,0,0,1,0,0,1,6.800000,3.000000,5.500000,2.100000,17.400000,0.082430,89.900000,9.481561
0.008491,0.024950,0.966559,0,0,1,0,0,1,5.700000,2.500000,5.000000,2.000000,15.200000,0.076598,67.740000,8.230431
0.010274,0.005218,0.984508,0,0,1,0,0,1,5.800000,2.800000,5.100000,2.400000,16.100000,0.059428,73.250000,8.558621
0.010155,0.007621,0.982224,0,0,1,0,0,1,6.400000,3.200000,5.300000,2.300000,17.200000,0.064886,84.580000,9.196739
0.008743,0.018570,0.972687,0,0,1,0,0,1,6.500000,3.000000,5.500000,1.800000,16.800000,0.087495,84.740000,9.205433
0.017779,0.021743,0.960477,0,0,1,0,0,1,7.700000,3.800000,6.700000,2.200000,20.400000,0.082012,123.460000,11.111256
0.016695,0.016089,0.967216,0,0,1,0,0,1,7.700000,2.600000,6.900000,2.300000,19.500000,0.106031,118.950000,10.906420
0.012744,0.230023,0.757234,0,0,1,0,0,1,6.000000,2.200000,5.000000,1.500000,14.700000,0.109271,68.090000,8.251666
0.008851,0.003917,0.987232,0,0,1,0,0,1,6.900000,3.200000,5.700000,2.300000,18.100000,0.074553,95.630000,9.779059
0.009059,0.058055,0.932886,0,0,1,0,0,1,5.600000,2.800000,4.900000,2.000000,15.300000,0.066865,67.210000,8.198171
0.012753,0.013415,0.973832,0,0,1,0,0,1,7.700000,2.800000,6.700000,2.000000,19.200000,0.108739,116.020000,10.771258
0.010721,0.254895,0.734384,0,0,1,0,0,1,6.300000,2.700000,4.900000,1.800000,15.700000,0.088871,74.230000,8.615683
0.008971,0.005532,0.985498,0,0,1,0,0,1,6.700000,3.300000,5.700000,2.100000,17.800000,0.075521,92.680000,9.627045
0.008894,0.011363,0.979743,0,0,1,0,0,1,7.200000,3.200000,6.000000,1.800000,18.200000,0.095947,101.320000,10.065784
0.010746,0.400994,0.588259,0,0,1,0,0,1,6.200000,2.800000,4.800000,1.800000,15.600000,0.084315,72.560000,8.518216
0.010807,0.298862,0.690331,0,0,1,0,0,1,6.100000,3.000000,4.900000,1.800000,15.800000,0.078274,73.460000,8.570881
0.008536,0.002825,0.988638,0,0,1,0,0,1,6.400000,2.800000,5.600000,2.100000,16.900000,0.081142,84.570000,9.196195
0.010261,0.031961,0.957779,0,0,1,0,0,1,7.200000,3.000000,5.800000,1.600000,17.600000,0.106680,97.040000,9.850888
0.009431,0.008533,0.982036,0,0,1,0,0,1,7.400000,2.800000,6.100000,1.900000,18.200000,0.105173,103.420000,10.169562
0.018210,0.031816,0.949974,0,0,1,0,0,1,7.900000,3.800000,6.400000,2.000000,20.100000,0.089406,121.810000,11.036757
0.008755,0.002265,0.988980,0,0,1,0,0,1,6.400000,2.800000,5.600000,2.200000,17.000000,0.078046,85.000000,9.219544
0.011869,0.368470,0.619662,0,0,1,0,0,1,6.300000,2.800000,5.100000,1.500000,15.700000,0.098297,75.790000,8.705745
0.011756,0.031927,0.956317,0,0,1,0,0,1,6.100000,2.600000,5.600000,1.400000,15.700000,0.107089,77.290000,8.791473
0.010183,0.009622,0.980195,0,0,1,0,0,1,7.700000,3.000000,6.100000,2.300000,19.100000,0.092695,110.790000,10.525683
0.011957,0.003527,0.984516,0,0,1,0,0,1,6.300000,3.400000,5.600000,2.400000,17.700000,0.058564,88.370000,9.400532
0.009005,0.019402,0.971593,0,0,1,0,0,1,6.400000,3.100000,5.500000,1.800000,16.800000,0.083812,84.060000,9.168424
0.010969,0.416110,0.572922,0,0,1,0,0,1,6.000000,3.000000,4.800000,1.800000,15.600000,0.076130,71.280000,8.442748
0.009274,0.016575,0.974151,0,0,1,0,0,1,6.900000,3.100000,5.400000,2.100000,17.500000,0.081691,90.790000,9.528379
0.009380,0.002841,0.987779,0,0,1,0,0,1,6.700000,3.100000,5.600000,2.400000,17.800000,0.070189,91.620000,9.571834
0.011985,0.031909,0.956107,0,0,1,0,0,1,6.900000,3.100000,5.100000,2.300000,17.400000,0.075305,88.520000,9.408507
0.008236,0.031342,0.960422,0,0,1,0,0,1,5.800000,2.700000,5.100000,1.900000,15.500000,0.077316,70.550000,8.399405
0.008796,0.002602,0.988602,0,0,1,0,0,1,6.800000,3.200000,5.900000,2.300000,18.200000,0.074028,96.580000,9.827512
0.010579,0.002917,0.986504,0,0,1,0,0,1,6.700000,3.300000,5.700000,2.500000,18.200000,0.063992,94.520000,9.722140
0.010311,0.012852,0.976837,0,0,1,0,0,1,6.700000,3.000000,5.200000,2.300000,17.200000,0.073822,86.220000,9.285473
0.010524,0.074062,0.915414,0,0,1,0,0,1,6.300000,2.500000,5.000000,1.900000,15.700000,0.090828,74.550000,8.634234
0.009181,0.034674,0.956144,0,0,1,0,0,1,6.500000,3.000000,5.200000,2.000000,16.700000,0.079523,82.290000,9.071384
0.011746,0.006820,0.981434,0,0,1,0,0,1,6.200000,3.400000,5.400000,2.300000,17.300000,0.058726,84.450000,9.189668
0.010207,0.087640,0.902153,0,0,1,0,0,1,5.900000,3.000000,5.100000,1.800000,15.800000,0.075755,73.060000,8.547514
