prob0,prob1,prob2,prob3,actual0,actual1,actual2,actual3,predicted0,predicted1,predicted2,predicted3,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9
0.081818,0.602023,0.191865,0.124294,0,1,0,0,0,1,0,0,-0.180639,-1.318800,-2.662071,-0.722899,2.335476,0.726770,1.046092,1.160484,0.162940,1.450664
0.139370,0.139134,0.636495,0.085000,0,0,1,0,0,0,1,0,0.811131,1.588979,0.735863,-0.169220,2.013662,-0.037878,0.055894,0.341229,-0.961448,1.398879
0.298306,0.358468,0.154367,0.188859,1,0,0,0,0,1,0,0,1.989739,-0.382673,-2.076052,0.492891,-0.300998,-1.099058,0.225836,0.909456,-2.406612,-0.008480
0.609647,0.097035,0.167002,0.126316,1,0,0,0,1,0,0,0,-1.393280,0.360367,1.882097,-1.574938,-1.601130,1.248993,2.015438,-0.034778,-3.316400,-0.038298
0.162147,0.214114,0.506240,0.117499,0,0,1,0,0,0,1,0,-0.617437,0.945525,1.329171,0.841475,1.871416,0.950515,-0.587678,-0.141963,-1.717397,-0.549581
0.128101,0.525340,0.147925,0.198634,0,1,0,0,0,1,0,0,-1.582085,-0.086624,0.573626,-0.703070,0.692313,-0.341703,1.013803,2.879628,0.234588,0.784788
0.188483,0.367337,0.249026,0.195155,0,0,1,0,0,1,0,0,-0.156067,-0.519531,-1.441728,-0.935777,0.057603,-0.382889,0.568260,-1.841473,-0.585106,1.973832
0.489948,0.118003,0.290967,0.101082,1,0,0,0,1,0,0,0,-1.474199,0.108450,2.411222,-0.178827,-1.554361,-0.532473,-0.060434,-1.027694,-1.309947,1.898464
0.340413,0.218685,0.079267,0.361635,1,0,0,0,0,0,0,1,0.504324,0.431317,-0.647670,1.291244,-2.606296,-0.229960,1.542615,0.780372,2.185272,-1.231738
0.254167,0.312897,0.102440,0.330496,0,0,1,0,0,0,0,1,-1.838213,-0.475656,-2.892174,3.759455,-0.164013,-0.081368,0.846683,-1.680233,0.950588,0.352568
0.171135,0.298439,0.311167,0.219259,0,1,0,0,0,0,1,0,-0.012357,-0.850644,1.047636,0.467160,-0.671472,0.349633,-0.982501,-1.241322,-0.370776,-0.280775
0.480157,0.148062,0.194178,0.177603,1,0,0,0,1,0,0,0,-0.802675,-0.223145,-0.305140,-1.063796,-2.497787,0.142787,0.393293,0.051125,-1.114527,1.493161
0.012338,0.544048,0.266645,0.176970,0,1,0,0,0,1,0,0,-1.443828,-0.132900,2.510658,-0.595050,-0.614067,-0.422409,-0.191680,-3.046700,1.399182,-1.371127
0.159563,0.433310,0.329917,0.077210,0,0,1,0,0,1,0,0,0.333359,-1.984032,-1.142883,0.553229,1.339261,1.470701,0.985695,2.237964,-0.932885,1.707499
0.389518,0.290585,0.213215,0.106682,1,0,0,0,1,0,0,0,-0.927380,-0.131068,-1.497767,-0.836132,0.746251,0.290298,0.881742,1.785724,0.015426,0.896232
0.103695,0.434529,0.299905,0.161871,0,0,1,0,0,1,0,0,0.266268,0.685981,2.481323,0.549601,0.304018,-0.231130,1.859764,-1.920230,-2.004801,-0.178369
0.304127,0.188734,0.112551,0.394587,1,0,0,0,0,0,0,1,-1.137332,1.354087,-0.513341,0.625184,-1.072649,-0.078760,0.527842,0.388125,0.323481,-0.175850
0.060597,0.251369,0.468501,0.219532,0,0,1,0,0,0,1,0,-0.231929,0.030056,-0.213756,1.032047,0.072345,-0.223707,0.011702,-1.642163,-0.015791,0.830542
0.387806,0.091548,0.140797,0.379849,1,0,0,0,1,0,0,0,0.488233,0.269812,-0.114388,-0.647641,-1.720033,1.360360,-1.170520,0.011899,0.560729,0.153515
0.514817,0.172272,0.205345,0.107566,1,0,0,0,1,0,0,0,-0.580848,-0.430523,2.649710,-0.661689,0.587013,0.438683,-1.370823,1.417731,-2.853818,0.998274
0.572197,0.076377,0.110278,0.241148,1,0,0,0,1,0,0,0,0.513984,-1.566207,-0.887680,0.467335,-1.218308,-0.929417,-1.329514,0.554660,-0.876849,0.348962
0.573656,0.123966,0.159809,0.142569,1,0,0,0,1,0,0,0,-1.664793,1.121167,-1.072957,-1.311007,-0.676687,2.051166,1.027929,0.759322,-0.573151,-2.356083
0.339305,0.286689,0.169015,0.204991,1,0,0,0,1,0,0,0,-0.025446,-0.579977,-0.259985,-0.230009,-2.324096,-1.397433,0.844157,3.002166,-0.513650,0.978216
0.496542,0.164496,0.170233,0.168729,1,0,0,0,1,0,0,0,0.919035,-0.416090,1.352094,-0.617839,-1.298497,-0.021729,-0.225776,1.038502,-0.871627,1.233259
0.173712,0.266867,0.486461,0.072960,0,0,1,0,0,0,1,0,-0.065570,0.967242,0.428674,-0.623234,1.173711,-0.278767,-1.127803,3.133865,-2.093475,-0.213238
0.256289,0.437477,0.279917,0.026317,0,1,0,0,0,1,0,0,1.550476,0.054560,-0.824671,0.184935,1.458982,0.011078,-1.935467,2.192603,-0.238754,-0.038493
0.480157,0.148062,0.194178,0.177603,1,0,0,0,1,0,0,0,-0.917314,0.509414,-1.052902,-0.798483,-0.696358,-0.725201,0.977029,0.535816,-0.552747,-0.328690
0.377523,0.201072,0.182265,0.239140,1,0,0,0,1,0,0,0,0.429234,-0.642661,0.493854,0.011790,-0.092992,1.856358,0.370267,2.190298,0.545106,-0.759931
0.591748,0.077164,0.102603,0.228485,1,0,0,0,1,0,0,0,1.101912,0.128858,-0.792702,-0.018761,-1.508696,-1.062660,-1.343415,0.284127,-0.883707,-0.931847
0.516092,0.165282,0.162559,0.156067,1,0,0,0,1,0,0,0,0.403835,0.779759,-0.641641,0.626278,-1.829303,0.435117,-0.635559,0.916016,-1.218209,-0.860314
0.124414,0.232782,0.437188,0.205616,0,0,1,0,0,0,1,0,1.274190,0.214779,2.307269,0.972474,1.596049,0.033078,-0.483524,-0.864148,-2.569704,-0.210006
0.104177,0.223106,0.115211,0.557506,0,0,0,1,0,0,0,1,0.757513,-0.273485,-0.337174,-0.608092,-1.297909,-0.652890,2.291876,-0.811519,1.722695,0.085049
0.476040,0.185186,0.177647,0.161127,1,0,0,0,1,0,0,0,-1.292915,-0.113457,0.042335,-1.931431,-3.300180,-0.547551,1.291780,-0.064752,-1.000334,0.519649
0.184979,0.245325,0.379628,0.190068,0,0,1,0,0,0,1,0,0.503493,0.585515,1.371979,-0.547290,0.445374,-0.297330,-1.556568,-1.866127,-1.672088,-0.285783
0.164764,0.304147,0.318501,0.212588,0,0,1,0,0,0,1,0,0.969837,1.603083,-1.411646,-0.142732,0.503581,0.364459,-0.504445,-1.281886,-0.255745,0.130662
0.019506,0.249158,0.722640,0.008696,0,0,1,0,0,0,1,0,-1.598887,0.617863,-2.232701,0.850791,2.234270,0.437433,-0.218206,3.291546,-2.139455,0.868768
0.480157,0.148062,0.194178,0.177603,1,0,0,0,1,0,0,0,-0.334766,-1.463921,-1.182300,-2.498442,-1.996436,0.510843,-0.466323,0.979199,-3.176571,-0.282962
0.457875,0.129727,0.225123,0.187276,1,0,0,0,1,0,0,0,0.175792,0.818552,-0.809176,-1.530347,-0.806760,1.287134,-1.023724,1.844076,-0.761772,-0.258256
0.383143,0.135001,0.101908,0.379948,1,0,0,0,1,0,0,0,0.576099,1.141773,-0.222107,2.400275,-1.354122,0.356413,0.444504,0.304225,0.751826,-0.184498
0.496542,0.164496,0.170233,0.168729,1,0,0,0,1,0,0,0,0.935288,0.652870,2.142417,-0.089545,-0.480931,1.160348,0.492019,1.878418,-1.262393,0.587754
0.271005,0.483442,0.078995,0.166557,0,1,0,0,0,1,0,0,-1.011730,0.019823,-0.898635,0.682070,-3.377286,0.220838,-2.148333,-0.097111,-2.316941,0.736223
0.364018,0.137035,0.165752,0.333196,1,0,0,0,1,0,0,0,-0.620345,2.485556,-0.472585,-0.447882,-0.647236,0.925908,0.101693,2.104940,0.055033,0.496068
0.368814,0.207868,0.315752,0.107566,0,0,1,0,1,0,0,0,0.060797,-0.547601,4.221425,-0.161262,-2.741592,-0.511969,-1.623911,0.345060,-0.058210,1.561360
0.571635,0.139137,0.162077,0.127151,0,0,1,0,1,0,0,0,0.548500,-0.208470,1.666996,0.167398,-0.709728,-0.309029,1.299575,1.151022,-1.223183,-1.318314
0.031133,0.492361,0.214477,0.262030,0,0,0,1,0,1,0,0,-0.722065,1.647916,0.647791,-0.162891,0.263546,1.400823,-1.695703,-0.922597,2.366885,-0.423982
0.260087,0.264095,0.104457,0.371361,0,0,0,1,0,0,0,1,-0.748781,-1.224009,2.545712,1.308513,-0.874446,0.697353,-0.370434,-0.269645,1.898481,-1.628237
0.453212,0.173179,0.186234,0.187375,1,0,0,0,1,0,0,0,-0.197864,-1.286026,1.088530,-0.302329,-0.838373,1.334926,0.335803,0.449714,-0.500797,1.192339
0.455421,0.214812,0.165752,0.164015,1,0,0,0,1,0,0,0,-0.473017,0.113727,-1.013874,1.800334,0.440359,-0.722091,0.862404,2.655965,-0.128094,1.055096
0.159329,0.188320,0.261564,0.390787,0,0,0,1,0,0,0,1,0.238236,-0.899966,-1.114178,0.205574,-0.680894,1.184347,-0.287148,-1.232082,-0.591648,1.010074
0.225906,0.257194,0.100690,0.416210,0,0,0,1,0,0,0,1,-1.145630,0.790093,-0.182356,1.988132,-0.932199,1.269219,-0.300249,3.007302,0.511067,2.012977
0.453212,0.173179,0.186234,0.187375,1,0,0,0,1,0,0,0,-0.788667,0.932603,-0.672310,0.159780,-0.849206,-1.367487,0.755348,1.437097,-0.230810,0.318323
0.094685,0.267324,0.406802,0.231190,0,0,1,0,0,0,1,0,-0.734071,0.724080,1.748130,-1.078478,0.829411,-0.473488,0.835630,-1.160272,-0.972426,0.136170
0.686780,0.057586,0.118156,0.137478,1,0,0,0,1,0,0,0,0.650706,0.664512,-1.630421,1.331499,-1.282700,1.201688,-1.343490,1.128001,-3.163301,-2.841065
0.434291,0.103234,0.157695,0.304779,0,0,0,1,1,0,0,0,1.659841,0.219983,-1.076807,-1.404987,-0.760759,1.000574,0.361233,2.597848,0.005144,-0.194476
0.282223,0.177402,0.366670,0.173705,0,0,1,0,0,0,1,0,-0.338930,0.557455,1.396811,2.020437,0.393411,-0.427182,-0.329294,3.200945,-3.095264,-0.621715
0.402181,0.132936,0.159553,0.305330,1,0,0,0,1,0,0,0,-0.459711,-0.771484,-2.314282,0.377035,-1.837840,-0.031871,-1.455039,2.496563,-0.286509,1.246497
0.074982,0.605997,0.259432,0.059589,1,0,0,0,0,1,0,0,-0.032553,-0.250788,-2.065252,0.933863,1.377393,-0.405668,-0.426634,2.673504,-1.189989,-0.795781
0.477426,0.130513,0.217448,0.174613,1,0,0,0,1,0,0,0,0.001963,0.190720,-1.282142,-0.728365,-1.622019,2.166076,-0.980024,0.573837,-2.209673,-0.709283
0.455421,0.214812,0.165752,0.164015,0,0,1,0,1,0,0,0,-0.595575,-0.637687,-1.865481,0.892340,0.268646,0.045480,-0.371338,1.491463,-0.049334,-0.047928
0.393554,0.236447,0.170185,0.199814,0,1,0,0,1,0,0,0,1.488085,-0.572976,-0.053539,0.732613,-0.559169,0.619537,-0.004807,-0.047638,-1.814397,0.235815
0.159563,0.433310,0.329917,0.077210,0,1,0,0,0,1,0,0,1.641494,0.965596,-0.500271,-0.563588,1.675510,0.239968,2.573628,3.219640,-0.657758,0.331714
0.153667,0.154733,0.533825,0.157775,0,0,1,0,0,0,1,0,-0.368225,-0.800985,1.282768,0.059016,2.859473,-0.512357,-0.821843,-0.852340,-0.789382,-0.473311
0.240408,0.222012,0.247865,0.289716,0,0,0,1,0,0,0,1,-1.619976,-0.492975,2.267662,-0.840380,-1.158058,0.310588,2.974411,0.665010,0.821076,-1.670458
0.158238,0.188698,0.580004,0.073059,0,0,1,0,0,0,1,0,-0.005542,-0.028808,2.382715,0.328583,2.659990,-0.429399,-0.336447,1.158395,-1.126584,0.905859
0.471460,0.116303,0.155885,0.256353,0,0,0,1,1,0,0,0,0.615262,-2.352605,0.691696,0.446920,-2.079478,-0.747525,0.056596,2.038865,-1.206161,-0.313644
0.327389,0.237193,0.099148,0.336270,0,0,0,1,0,0,0,1,0.814063,0.103796,3.407533,-0.264254,-1.147710,-0.392715,0.401170,0.850864,0.277170,-1.071387
0.061270,0.229476,0.465603,0.243651,0,0,1,0,0,0,1,0,1.350905,-0.275165,-0.978943,-0.135519,0.216572,-0.289347,-1.049591,-1.339533,1.047691,0.219474
0.211053,0.309956,0.287896,0.191095,0,1,0,0,0,1,0,0,0.964068,0.096058,2.506580,0.696808,0.008436,0.670684,-0.505695,-1.161827,-1.270399,-0.537858
0.453212,0.173179,0.186234,0.187375,0,1,0,0,1,0,0,0,-1.057197,0.345417,-0.786386,1.041382,-2.527150,0.362551,-0.628460,0.037731,-1.071887,1.437822
0.184600,0.368315,0.175690,0.271395,0,1,0,0,0,1,0,0,-0.026755,1.408687,1.089362,0.103131,0.432554,-0.037777,0.528614,3.455898,0.254288,1.817788
0.129453,0.359899,0.302611,0.208037,0,0,0,1,0,1,0,0,0.570844,-0.696747,-0.694233,0.711607,1.109889,-0.424002,0.470056,-0.756948,-0.459622,0.250313
0.506313,0.275321,0.108077,0.110288,0,1,0,0,1,0,0,0,0.025915,-0.247476,0.221339,1.090852,-0.873116,0.721182,-1.427339,0.732371,-3.243289,-0.503909
0.241588,0.288971,0.424375,0.045067,0,0,1,0,0,0,1,0,-1.589364,-0.172763,-1.244896,1.219208,1.471390,-0.864523,-1.040991,0.012592,-0.075241,1.137239
0.071816,0.232179,0.538908,0.157098,0,0,1,0,0,0,1,0,-0.822980,-0.688237,3.952138,-0.961474,1.469753,0.738042,-0.106095,-0.890553,-0.557587,-0.442821
0.547158,0.091548,0.140797,0.220497,1,0,0,0,1,0,0,0,0.879196,-0.167602,-0.765783,-0.734533,-1.708119,0.091574,-1.305461,1.505696,0.389338,0.147646
0.480157,0.148062,0.194178,0.177603,1,0,0,0,1,0,0,0,-0.855113,0.213604,0.318324,-1.744365,-1.659211,-1.357617,-0.525986,1.714095,-0.728271,-0.305692
0.436156,0.111466,0.128559,0.323819,0,0,0,1,1,0,0,0,-1.765413,-1.438069,-0.473929,-0.101323,-1.655239,0.559020,-0.260344,0.668281,-1.411365,-1.147196
0.436156,0.111466,0.328559,0.123819,1,0,0,0,1,0,0,0,-1.564335,-0.056659,3.061936,-1.539346,-0.212880,-0.231532,-0.413438,0.648632,-1.158064,-1.017731
0.480157,0.148062,0.194178,0.177603,1,0,0,0,1,0,0,0,-0.178288,-1.174320,-0.870163,-0.872715,-0.983263,0.255856,0.862944,2.689664,-1.415976,0.327111
0.117576,0.190834,0.535676,0.155915,0,0,1,0,0,0,1,0,0.464145,-1.321839,0.766063,1.132239,1.460220,-0.512160,0.112501,0.075865,0.799527,1.043178
0.064514,0.255456,0.470276,0.209753,0,0,1,0,0,0,1,0,1.065784,-1.057147,1.396448,-0.333896,0.793510,0.366763,-0.036269,-1.616864,-1.389766,-0.121556
0.455421,0.214812,0.165752,0.164015,1,0,0,0,1,0,0,0,-0.818207,0.375046,-1.402155,0.072691,0.046486,1.688861,-0.084862,1.393193,-0.855551,1.271998
0.075042,0.219163,0.367490,0.338306,0,1,0,0,0,0,1,0,-0.267474,0.450914,-2.488444,-1.623743,1.188399,-0.770724,-0.371765,-1.084097,2.244600,1.674950
0.224361,0.344183,0.315143,0.116313,0,1,0,0,0,1,0,0,-1.927499,-0.404281,0.029835,-0.598060,0.731493,-1.062123,0.377930,2.193483,0.055873,-0.416604
0.080805,0.590670,0.189924,0.138601,0,1,0,0,0,1,0,0,0.650363,0.179719,-0.816512,1.205011,0.864335,-1.385008,-0.777474,0.745372,1.148092,-0.571455
0.386747,0.284899,0.188640,0.139715,0,1,0,0,1,0,0,0,1.221233,-1.084393,-1.624551,0.081608,-3.328757,0.323808,-1.364453,0.939097,-2.922660,-0.248248
0.057209,0.536024,0.102155,0.304612,0,1,0,0,0,1,0,0,-0.625184,0.392481,2.856274,0.068237,-0.755988,0.333354,-0.008222,-3.026878,2.581674,-0.717285
0.135359,0.439960,0.282074,0.142607,0,1,0,0,0,1,0,0,0.083559,-0.578311,-2.049636,0.241137,2.391667,0.289934,-0.591226,2.112507,0.245205,0.696853
0.289557,0.193903,0.075675,0.440864,0,0,0,1,0,0,0,1,-0.752382,-0.321848,0.415646,-0.820499,-1.238047,-1.753009,-0.971958,2.363245,1.135430,0.183266
0.304436,0.284722,0.095267,0.315575,1,0,0,0,0,0,0,1,0.196481,0.960377,-0.731976,0.935771,-0.696825,-1.869261,1.164674,0.278197,0.531659,0.481291
0.482365,0.189696,0.173696,0.154243,1,0,0,0,1,0,0,0,-1.137045,1.312605,-1.826743,-1.223669,0.041432,0.885298,0.262046,1.224727,-1.727010,-0.060184
0.042873,0.083558,0.790011,0.083558,0,0,1,0,0,0,1,0,-1.445589,-0.318865,1.974873,-0.059340,1.786235,-0.629848,-2.053133,-0.118302,1.083598,-0.198924
0.457875,0.129727,0.225123,0.187276,0,0,1,0,1,0,0,0,-0.691023,0.348589,0.844130,0.716415,-0.738417,-0.170353,-0.813465,0.907497,-0.466612,0.040615
0.012500,0.185199,0.355572,0.446729,0,0,1,0,0,0,0,1,-1.376183,-1.874377,-0.306079,-1.326675,-0.185753,0.272385,-0.308615,-2.034055,-0.688719,0.625496
0.190220,0.302244,0.095333,0.412203,0,0,0,1,0,0,0,1,-0.372251,-0.074144,-1.103443,0.738489,-1.076633,-0.675205,-0.044119,3.840644,0.332728,-0.011083
0.284059,0.245877,0.115149,0.354915,0,1,0,0,0,0,0,1,0.061425,-0.313216,1.467530,-0.034369,-0.201283,-0.788507,-0.391609,2.036994,1.695725,-0.128745
